attack,defense,height,hidden_ability,hp,main_ability,name,national,sp_attack,sp_defense,species,speed,total_stats,types,weight
49,49,0.7 m (2′04″),Chlorophyll,45,Overgrow,Bulbasaur,1,65,65,Seed Pokémon,45,318,"Grass,Poison",6.9 kg (15.2 lbs)
62,63,1.0 m (3′03″),Chlorophyll,60,Overgrow,Ivysaur,2,80,80,Seed Pokémon,60,405,"Grass,Poison",13.0 kg (28.7 lbs)
82,83,"2.0 m (6′07″),2.4 m (7′10″)",Chlorophyll,80,"Overgrow,Thick Fat",Venusaur,3,100,100,"Seed Pokémon,Seed Pokémon",80,525,"Grass,Poison,Grass,Poison","100.0 kg (220.5 lbs),155.5 kg (342.8 lbs)"
52,43,0.6 m (2′00″),Solar Power,39,Blaze,Charmander,4,60,50,Lizard Pokémon,65,309,Fire,8.5 kg (18.7 lbs)
64,58,1.1 m (3′07″),Solar Power,58,Blaze,Charmeleon,5,80,65,Flame Pokémon,80,405,Fire,19.0 kg (41.9 lbs)
84,78,"1.7 m (5′07″),1.7 m (5′07″),1.7 m (5′07″)",Solar Power,78,"Blaze,Tough Claws,Drought",Charizard,6,109,85,"Flame Pokémon,Flame Pokémon,Flame Pokémon",100,534,"Fire,Flying,Fire,Dragon,Fire,Flying","90.5 kg (199.5 lbs),110.5 kg (243.6 lbs),100.5 kg (221.6 lbs)"
48,65,0.5 m (1′08″),Rain Dish,44,Torrent,Squirtle,7,50,64,Tiny Turtle Pokémon,43,314,Water,9.0 kg (19.8 lbs)
63,80,1.0 m (3′03″),Rain Dish,59,Torrent,Wartortle,8,65,80,Turtle Pokémon,58,405,Water,22.5 kg (49.6 lbs)
83,100,"1.6 m (5′03″),1.6 m (5′03″)",Rain Dish,79,"Torrent,Mega Launcher",Blastoise,9,85,105,"Shellfish Pokémon,Shellfish Pokémon",78,530,"Water,Water","85.5 kg (188.5 lbs),101.1 kg (222.9 lbs)"
30,35,0.3 m (1′00″),Run Away,45,Shield Dust,Caterpie,10,20,20,Worm Pokémon,45,195,Bug,2.9 kg (6.4 lbs)
